Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
2013-2-1,8,5,2,5,3,2,97,90,74,1015,998,43,11,43,0.43
2013-2-2,8,4,0,6,3,0,98,93,76,1025,1015,27,4,27,0.51
2013-2-3,11,9,6,9,8,6,98,93,82,1019,1010,54,14,54,0.33
2013-2-4,8,5,0,6,3,0,97,86,73,1014,1005,69,19,69,0.53
2013-2-5,8,4,0,6,2,-1,97,90,80,1012,1000,50,16,50,0.41
2013-2-6,7,3,0,4,1,-1,96,88,74,1027,1012,46,9,46,0.05
2013-2-7,8,4,-2,7,3,-2,98,92,81,1027,1018,43,8,43,0.43
2013-2-8,9,6,2,7,5,2,97,91,81,1027,1023,26,6,26,0.03
2013-2-9,9,7,6,8,7,5,98,97,96,1023,1003,19,6,24,0.71
2013-2-10,8,6,5,7,5,4,98,94,87,1002,990,21,6,35,0.63
2013-2-11,5,4,3,5,3,2,97,96,91,1009,992,13,3,23,0.30
2013-2-12,6,4,3,5,3,2,97,97,96,1013,1009,15,4,23,0.15
2013-2-13,11,8,4,10,7,4,98,97,91,1011,1003,24,8,48,0.53
2013-2-14,10,6,3,7,5,2,97,90,73,1017,1005,32,7,32,0.38
2013-2-15,9,5,1,7,4,1,98,93,78,1019,1017,19,4,19,0.13
2013-2-16,12,9,7,10,8,6,98,94,88,1017,1012,41,11,41,0.03
2013-2-17,10,8,4,7,5,3,90,85,75,1012,1010,41,16,41,0.00
2013-2-18,8,5,1,5,3,1,95,87,76,1016,1012,42,13,42,0.00
2013-2-19,9,6,2,6,4,1,95,89,77,1017,1015,24,9,24,0.00
2013-2-20,8,3,-1,5,2,-2,97,90,75,1017,1015,42,12,42,0.00
2013-2-21,5,2,-1,3,0,-3,88,82,74,1020,1017,44,17,44,0.00
2013-2-22,2,1,-2,-2,-3,-3,90,78,71,1025,1020,30,9,30,0.00
2013-2-23,2,0,-2,-1,-2,-4,92,85,75,1027,1024,10,2,10,0.00
2013-2-24,6,0,-4,0,-3,-5,95,83,59,1032,1027,22,5,22,0.00
2013-2-25,8,0,-6,2,-2,-6,96,85,62,1035,1031,24,4,24,0.00
2013-2-26,6,1,-5,3,0,-5,97,93,84,1038,1035,20,4,21,0.00
2013-2-27,5,4,2,3,3,2,97,93,89,1038,1037,15,3,15,0.00
2013-2-28,8,4,1,6,3,0,97,94,83,1037,1033,17,5,17,0.00 
