Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
2013-2-1,7,5,4,5,2,0,94,83,71,1010,993,24,6,41,0.41 
2013-2-2,7,4,2,2,1,0,86,79,66,1023,1010,19,3,29,0.03 
2013-2-3,11,9,4,9,7,2,95,90,83,1017,1004,29,8,56,0.51 
2013-2-4,11,6,1,9,3,0,93,80,66,1007,999,36,11,60,0.71 
2013-2-5,8,4,1,5,2,-1,94,88,74,1005,991,39,11,65,1.45 
2013-2-6,7,5,3,2,1,-1,81,72,58,1022,1004,25,7,45,0.00 
2013-2-7,6,4,2,4,2,0,94,90,80,1022,1014,14,3,24,0.33 
2013-2-8,8,6,5,7,4,2,96,87,78,1023,1019,19,3,34,0.10 
2013-2-9,9,8,6,8,7,6,97,96,91,1019,1004,16,3,24,0.33 
2013-2-10,8,6,4,7,5,3,97,95,92,1004,989,20,6,34,0.97 
2013-2-11,5,4,3,3,1,0,93,80,69,1010,992,20,6,34,0.05 
2013-2-12,5,4,3,2,1,0,84,79,75,1015,1010,18,4,34,0.00 
2013-2-13,11,8,4,10,7,2,99,93,83,1014,1000,25,7,43,1.68 
2013-2-14,10,7,5,7,5,3,94,86,71,1013,1002,22,6,47,0.05 
2013-2-15,10,7,4,6,4,3,93,85,69,1018,1013,14,3,23,0.00 
2013-2-16,11,8,6,9,7,4,95,91,87,1017,1016,21,3,34,0.05 
2013-2-17,9,8,6,6,5,4,89,85,78,1016,1014,24,7,35,0.00 
2013-2-18,8,6,4,5,4,3,95,86,72,1018,1014,22,3,33,0.00 
2013-2-19,9,5,3,6,4,2,97,90,74,1019,1016,10,1,15,0.03 
2013-2-20,7,5,3,4,3,0,95,87,77,1022,1017,24,6,40,0.03 
2013-2-21,4,3,3,1,0,-2,83,77,71,1023,1021,24,7,39,0.00 
2013-2-22,4,3,2,-1,-2,-3,77,68,64,1024,1022,21,5,35,0.00 
2013-2-23,4,3,1,0,-2,-4,86,71,62,1027,1023,8,2,18,0.00 
2013-2-24,6,4,1,2,0,-2,86,75,61,1030,1027,15,2,23,0.00 
2013-2-25,8,4,1,2,1,-1,92,79,56,1035,1030,13,2,21,0.00 
2013-2-26,8,5,3,4,2,1,90,83,73,1037,1034,17,3,24,0.00 
2013-2-27,8,5,2,5,3,1,92,87,76,1038,1035,10,1,15,0.00 
2013-2-28,11,7,1,7,5,0,97,86,73,1035,1032,14,3,26,0.00 
