GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-2-1,9,6,5,4,3,2,79,73,63,1010,1004.00,998,13.0,12.0,12.0,29,27,,1.0,,Rain,-1
2013-2-2,8,5,2,4,3,1,83,74,62,1025,1021.25,1016,27.0,24.0,18.0,22,17,,0.1,,,-1
2013-2-3,10,8,6,9,9,9,96,92,88,1018,1015.75,1012,8.0,5.9,3.5,29,26,,0.2,,Rain,-1
2013-2-4,7,7,4,2,1,-0,69,56,45,1013,1011.25,1007,12.0,10.3,9.0,40,35,,3.0,,Rain,-1
2013-2-5,9,4,1,5,1,-1,79,68,54,1008,1003.50,1001,11.0,8.2,3.6,50,46,,3.0,,Rain-Snow,-1
2013-2-6,8,6,3,1,1,0,70,64,53,1028,1023.00,1016,14.0,13.2,10.0,36,30,,0.4,,Rain,-1
2013-2-7,9,4,1,5,3,-0,85,75,64,1027,1023.50,1021,16.0,11.5,9.0,43,17,,6.0,,Rain,-1
2013-2-8,10,6,6,7,5,3,86,76,64,1027,1026.00,1025,18.0,11.6,4.8,22,18,,1.0,,,-1
2013-2-9,9,8,7,8,7,7,95,93,91,1022,1016.00,1009,8.0,7.2,7.0,25,19,,0.6,,Rain,-1
2013-2-10,9,7,6,7,4,3,94,76,65,1002,996.25,992,26.0,17.2,6.0,29,15,,0.6,,Rain,-1
2013-2-11,7,6,4,6,5,4,92,86,76,1004,999.50,994,22.0,16.5,10.0,32,19,,2.0,,Rain,-1
2013-2-12,7,4,2,5,4,3,95,92,88,1013,1011.50,1009,19.0,9.8,6.0,22,8,,0.6,,,-1
2013-2-13,10,8,5,10,8,5,95,90,83,1009,1004.75,1002,11.0,7.5,2.8,47,31,,3.0,,Rain,-1
2013-2-14,9,9,7,5,5,4,73,70,64,1015,1010.33,1004,13.0,12.0,11.0,22,20,,0.9,,Rain,-1
2013-2-15,9,6,3,6,4,2,92,82,75,1018,1017.50,1016,21.0,13.8,10.0,22,13,,0.5,,,-1
2013-2-16,11,8,7,8,8,7,95,88,78,1016,1013.25,1010,28.0,24.0,21.0,29,26,,0.3,,,-1
2013-2-17,11,10,8,6,5,4,72,68,64,1009,1008.75,1008,22.0,21.5,21.0,43,35,,0.0,,,-1
2013-2-18,9,6,5,3,2,2,70,62,53,1013,1011.50,1010,22.0,19.7,18.0,36,30,,0.0,,,-1
2013-2-19,12,8,6,6,4,3,79,71,63,1016,1015.25,1014,25.0,15.2,10.0,29,20,,0.0,,,-1
2013-2-20,8,2,2,2,1,0,72,64,55,1016,1015.00,1014,17.0,14.0,11.0,22,17,,0.0,,,-1
2013-2-21,6,5,3,0,-0,-2,61,59,56,1017,1016.50,1016,13.0,12.0,10.0,40,26,,0.0,,,-1
2013-2-22,5,2,0,-4,-4,-5,61,52,42,1024,1021.25,1019,25.0,16.0,6.0,22,18,,0.0,,,-1
2013-2-23,5,0,-2,-4,-4,-5,73,59,47,1026,1026.00,1026,30.0,22.5,16.0,11,8,,0.0,,,-1
2013-2-24,7,2,-3,-2,-3,-4,75,62,46,1030,1029.00,1028,30.0,17.7,6.0,22,9,,0.0,,,-1
2013-2-25,8,4,0,-1,-2,-4,60,55,43,1034,1032.75,1031,30.0,26.0,22.0,18,17,,0.0,,,-1
2013-2-26,10,4,-1,2,-0,-3,85,69,51,1036,1035.50,1035,22.0,17.3,13.0,11,9,,0.0,,,-1
2013-2-27,9,3,0,3,1,-0,91,80,71,1039,1038.25,1038,12.0,8.1,4.5,7,6,,0.0,,,-1
2013-2-28,8,5,1,5,4,3,92,80,69,1038,1036.25,1035,20.0,14.0,7.0,18,11,,0.0,,,-1
