Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
2013-2-1,7,4,1,6,3,-1,100,90,78,1002,984,48,11,48,0.03
2013-2-2,10,3,-1,4,1,-3,96,85,62,1015,1002,23,4,24,0.00
2013-2-3,10,8,4,10,8,3,100,98,90,1009,999,44,14,48,0.28
2013-2-4,10,5,0,9,3,0,99,87,73,1001,991,64,21,65,0.20
2013-2-5,7,2,-1,6,2,-1,100,95,87,997,984,47,15,54,0.23
2013-2-6,9,4,1,3,1,-1,94,81,62,1014,997,29,7,32,0.00
2013-2-7,4,2,1,4,2,0,100,96,91,1013,1002,21,5,37,0.51
2013-2-8,8,5,3,7,4,2,100,96,92,1014,1011,26,7,26,0.03
2013-2-9,10,7,5,9,7,5,100,99,93,1011,995,23,5,26,0.53
2013-2-10,7,5,3,7,5,3,100,100,100,995,980,21,3,27,1.35
2013-2-11,3,3,2,3,2,1,100,95,87,1000,982,15,4,16,0.13
2013-2-12,4,3,2,4,2,1,100,98,91,1005,1000,10,3,12,0.10
2013-2-13,11,7,4,11,7,4,100,100,100,1004,994,49,9,49,1.42
2013-2-14,11,6,3,7,5,3,100,91,69,1006,995,39,11,39,0.00
2013-2-15,11,5,2,7,4,2,100,94,76,1010,1006,21,5,23,0.00
2013-2-16,11,7,4,10,7,4,100,97,91,1009,1006,21,3,24,0.05
2013-2-17,10,7,3,8,6,3,100,94,78,1007,1005,23,5,23,0.00
2013-2-18,9,4,1,5,3,0,98,89,74,1008,1004,18,4,23,0.00
2013-2-19,11,4,-1,10,3,-1,100,96,76,1009,1007,11,2,13,0.00
2013-2-20,10,5,2,8,4,2,100,93,72,1011,1007,19,5,19,0.00
2013-2-21,5,2,0,2,-1,-2,90,80,71,1011,1010,21,6,24,0.00
2013-2-22,3,1,1,-1,-2,-3,82,76,69,1014,1010,21,4,21,0.00
2013-2-23,2,1,0,-2,-2,-3,86,79,72,1016,1013,11,2,11,0.00
2013-2-24,1,0,-1,-2,-2,-3,91,86,77,1016,1015,9,3,13,0.00
2013-2-25,2,0,-1,1,-2,-3,95,88,81,1016,1002,7,3,10,0.00
2013-2-26,11,4,-2,6,2,-2,100,88,68,1015,1011,12,2,13,0.00
2013-2-27,5,3,1,3,2,1,99,96,88,1016,1013,13,3,16,0.00
2013-2-28,11,5,1,7,4,1,100,95,74,1013,1011,17,5,23,0.00 
