Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
2013-2-1,9,7,4,6,4,2,92,86,78,1016,1001,21,7,45,0.03
2013-2-2,8,5,1,7,4,0,97,89,74,1026,1016,18,3,37,0.13
2013-2-3,10,10,8,10,9,7,99,98,96,1021,1013,27,10,43,0.30
2013-2-4,9,6,2,6,3,0,92,85,77,1016,1007,32,14,74,0.36
2013-2-5,9,5,1,7,3,0,96,89,80,1014,1002,26,10,56,0.79
2013-2-6,8,5,3,5,3,1,94,87,79,1028,1014,18,5,42,0.10
2013-2-7,10,7,3,8,4,1,97,86,70,1028,1020,23,7,55,0.15
2013-2-8,11,8,6,8,6,4,96,89,77,1028,1024,19,6,27,0.05
2013-2-9,9,8,8,9,8,7,98,97,95,1024,1003,11,5,24,0.63
2013-2-10,8,7,5,8,6,4,99,97,93,1003,995,13,5,26,0.15
2013-2-11,6,5,4,5,4,4,96,95,92,1009,1007,5,1,11,0.79
2013-2-12,8,5,4,7,5,4,98,96,93,1014,1009,18,3,29,0.20
2013-2-13,10,9,5,10,9,5,100,99,97,1012,1004,31,9,55,1.50
2013-2-14,11,7,5,8,6,4,98,92,78,1019,1006,18,6,32,0.10
2013-2-15,10,7,5,8,6,4,96,91,80,1020,1017,10,4,26,0.05
2013-2-16,9,9,8,9,8,7,98,93,85,1017,1012,21,6,43,0.05
2013-2-17,11,9,7,8,6,4,89,82,70,1012,1010,23,9,51,0.00
2013-2-18,10,8,5,7,5,3,91,82,69,1016,1011,16,6,39,0.00
2013-2-19,11,8,4,7,6,2,93,87,71,1017,1014,14,4,23,0.00
2013-2-20,10,5,1,6,3,1,97,88,73,1017,1015,16,5,35,0.03
2013-2-21,7,5,3,4,1,-2,86,80,73,1019,1016,23,9,50,0.00
2013-2-22,4,2,1,-1,-2,-3,77,72,66,1025,1019,18,5,37,0.00
2013-2-23,4,2,-1,0,-1,-3,87,80,71,1028,1025,6,1,14,0.00
2013-2-24,7,2,-3,1,-2,-3,96,79,57,1032,1027,10,2,23,0.00
2013-2-25,8,2,-3,2,-1,-4,95,83,61,1035,1032,6,1,16,0.03
2013-2-26,8,3,-1,4,2,-2,97,89,77,1038,1035,11,2,23,0.00
2013-2-27,6,5,4,5,4,3,94,91,87,1039,1037,11,3,21,0.00
2013-2-28,7,4,2,5,3,1,96,93,87,1037,1033,13,4,24,0.03 
