Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
2013-2-1,9,5,1,6,2,-1,98,85,71,1011,998,37,9,48,0.05
2013-2-2,8,4,1,3,2,0,98,87,59,1025,1011,16,3,21,0.00
2013-2-3,12,9,4,10,8,2,98,94,86,1021,1012,35,8,43,0.23
2013-2-4,10,7,1,10,3,-1,98,77,60,1015,1006,45,15,63,0.30
2013-2-5,8,4,1,5,2,0,98,88,74,1007,996,45,13,55,0.30
2013-2-6,8,4,0,2,0,-2,98,79,54,1024,1007,35,9,39,0.00
2013-2-7,8,3,-1,8,2,-1,98,93,79,1024,1013,42,6,56,0.38
2013-2-8,9,6,3,6,4,2,98,88,76,1024,1021,21,7,27,0.00
2013-2-9,10,7,3,8,6,3,98,94,78,1022,1003,13,2,14,0.18
2013-2-10,8,7,5,8,5,2,98,92,74,1002,987,26,7,34,0.81
2013-2-11,5,4,3,5,4,3,98,96,87,1007,987,18,4,26,0.00
2013-2-12,7,5,3,6,4,3,98,98,93,1012,1007,10,2,14,0.05
2013-2-13,13,9,5,11,8,5,98,97,83,1011,1004,26,7,34,0.74
2013-2-14,11,7,3,8,5,3,98,89,62,1017,1004,27,7,43,0.05
2013-2-15,9,5,-1,8,3,-1,98,89,64,1019,1017,13,2,14,0.00
2013-2-16,10,9,7,10,8,7,98,94,81,1017,1014,27,7,35,0.00
2013-2-17,10,8,5,7,5,2,93,82,66,1014,1011,27,9,40,0.00
2013-2-18,8,7,5,4,3,2,85,78,72,1015,1011,24,8,39,0.00
2013-2-19,10,6,1,5,3,1,98,82,57,1016,1015,18,4,21,0.00
2013-2-20,8,4,0,5,2,0,98,86,72,1016,1015,27,6,39,0.00
2013-2-21,5,3,1,1,-2,-5,81,71,61,1019,1016,34,9,39,0.00
2013-2-22,3,1,1,-3,-5,-6,76,63,55,1021,1016,23,5,27,0.00
2013-2-23,4,2,1,-1,-2,-6,88,76,51,1026,1020,16,2,18,0.00
2013-2-24,7,2,-1,0,-3,-5,98,75,44,1030,1024,13,3,21,0.00
2013-2-25,8,2,-2,1,-1,-3,98,81,53,1033,1029,13,2,16,0.00
2013-2-26,7,3,-2,4,1,-2,98,89,74,1035,1031,13,4,18,0.00
2013-2-27,10,5,2,4,3,1,98,85,61,1036,1033,16,3,21,0.00
2013-2-28,8,4,0,4,2,0,98,91,75,1034,1030,18,4,21,0.00 
