Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
2013-2-1,9,8,7,6,5,4,89,60,50,1013,1000,26,2,27,0.05 
2013-2-2,9,7,4,5,4,4,83,59,50,1024,1013,10,0,10,0.03 
2013-2-3,7,7,7,4,4,4,50,50,50,1020,1013,0,0,0,0.00 
2013-2-4,9,7,7,6,4,4,87,64,50,1016,1007,35,2,35,0.08 
2013-2-5,8,7,2,5,4,0,87,54,50,1011,1002,29,2,37,0.13 
2013-2-6,8,6,3,5,-4,-73,87,59,50,1025,1011,29,-25,29,0.05 
2013-2-7,10,5,-1,6,-9,-73,88,23,1,1026,1018,35,2,35,0.23 
2013-2-8,10,6,3,7,-60,-73,86,14,78,1026,1022,19,1,19,0.00 
2013-2-9,10,7,3,-73,-73,-73,0,0,100,1022,1001,10,0,10,0.51 
2013-2-10,9,6,5,4,-62,-73,85,12,80,1001,990,24,2,24,0.36 
2013-2-11,6,5,4,-73,-73,-73,0,0,100,1007,990,24,-2,24,0.79 
2013-2-12,6,-1,4,-73,-73,-73,0,0,100,1012,1007,10,-273,10,0.48 
2013-2-13,16,12,5,-73,-73,-73,0,0,100,1010,1004,26,-5,26,1.14 
2013-2-14,13,5,7,10,-62,-73,86,11,80,1017,1005,26,-168,26,0.20 
2013-2-15,14,7,4,10,-63,-73,85,10,77,1018,1015,11,-65,11,0.00 
2013-2-16,15,-3,12,-73,-73,-73,0,0,100,1016,1012,16,-534,16,0.00 
2013-2-17,11,10,8,8,2,-73,83,64,50,1010,1007,19,1,19,0.03 
2013-2-18,11,9,6,7,-23,-73,85,51,72,1013,1008,21,2,21,0.00 
2013-2-19,12,7,2,8,-18,-73,85,44,50,1014,1012,14,1,14,0.00 
2013-2-20,8,3,0,4,-50,-73,83,25,77,1014,1012,19,2,19,0.00 
2013-2-21,3,1,-1,0,-7,-73,82,71,70,1015,1013,26,3,26,0.00 
2013-2-22,7,0,-2,12,-4,-7,79,72,50,1023,1015,23,3,23,0.00 
2013-2-23,4,2,0,-1,-16,-73,86,61,68,1025,1022,5,0,5,0.00 
2013-2-24,8,2,-3,2,-1,-73,80,60,50,1029,1024,11,0,11,0.00 
2013-2-25,9,2,-4,2,-21,-73,90,54,55,1032,1029,11,0,11,0.00 
2013-2-26,7,2,-4,4,-38,-73,91,39,76,1035,1032,14,0,14,0.03 
2013-2-27,6,5,3,4,-5,-73,92,79,86,1036,1034,8,0,8,0.00 
2013-2-28,6,3,1,4,-19,-73,94,63,78,1034,1030,18,0,18,0.00 
