Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
2013-2-1,7,4,1,7,3,0,99,96,69,1015,1000,23,8,48,0.00
2013-2-2,8,3,0,6,1,-4,99,89,43,1027,1016,13,3,26,0.00
2013-2-3,9,8,4,9,8,4,99,99,99,1023,1013,32,6,53,0.33
2013-2-4,9,5,0,9,5,-1,99,99,89,1016,1008,39,14,61,0.18
2013-2-5,7,2,-1,7,2,-1,99,99,96,1011,1000,34,12,58,0.05
2013-2-6,6,3,-1,4,1,-3,99,91,52,1028,1012,21,6,37,0.00
2013-2-7,8,2,-1,7,2,-1,99,99,99,1028,1017,37,5,64,0.43
2013-2-8,9,5,3,8,5,3,99,99,99,1028,1025,16,6,27,0.00
2013-2-9,8,6,4,8,6,4,99,99,99,1025,1006,10,2,19,0.10
2013-2-10,6,5,3,6,5,3,99,99,99,1006,991,19,3,27,1.14
2013-2-11,3,3,2,3,2,2,99,99,99,1010,993,5,1,13,0.03
2013-2-12,5,3,1,5,3,1,99,99,99,1017,1011,11,3,13,0.05
2013-2-13,11,7,4,10,7,3,99,99,99,1015,1006,23,2,34,0.13
2013-2-14,9,6,3,9,5,3,99,98,83,1020,1007,27,5,34,0.18
2013-2-15,9,5,1,8,5,1,99,97,74,1022,1020,13,3,18,0.03
2013-2-16,10,8,6,10,8,6,99,99,99,1021,1017,24,7,34,0.03
2013-2-17,9,7,4,9,7,4,99,98,91,1017,1015,23,10,37,0.00
2013-2-18,7,5,3,5,4,2,99,93,73,1020,1015,24,8,42,0.00
2013-2-19,9,4,1,7,4,1,99,95,64,1021,1018,14,5,26,0.00
2013-2-20,8,3,-1,6,2,-1,99,94,63,1021,1019,23,8,47,0.00
2013-2-21,4,1,-1,4,-2,-6,97,77,57,1023,1021,29,11,53,0.00
2013-2-22,2,0,-1,-2,-6,-9,92,66,44,1027,1022,16,5,32,0.00
2013-2-23,1,0,0,-1,-2,-4,95,82,67,1029,1026,8,2,13,0.00
2013-2-24,4,1,-4,1,-2,-7,99,82,46,1033,1029,13,2,21,0.00
2013-2-25,7,1,-4,4,-1,-4,99,88,48,1037,1034,14,2,24,0.00
2013-2-26,5,2,-3,5,2,-3,99,99,98,1040,1036,16,4,27,0.00
2013-2-27,5,3,1,5,3,1,99,99,99,1041,1038,10,3,18,0.00
2013-2-28,7,3,0,7,3,0,99,99,99,1039,1035,10,3,21,0.00 
